Versuchsteilnehmer 1: Nick
Versuchsteilnehmer 2: Salah
Versuch: 
Startzeit: 03.04.2025 11:47:34
Stoppzeit: 03.04.2025 12:02:47
Probennummer: 
Winkel: 
Frequenz: 
Strom: 
Magnetfeld: 
Temperatur: 
Abgleich: 
Kommentar: 

Zeit (s)          	B(V)          	U_hall(V)          	U_I(V)          	 Uxx(V)
0,000000000000	-0,012732074329	0,003335697090	4,881599602324	1,091883324590
0,100000000000	-0,012829816274	0,003283686653	4,881610904620	1,091869720208
0,200000000000	-0,012940116070	0,003309639547	4,881614148798	1,091859987842
0,300000000000	-0,013011486527	0,003260977870	4,881623881330	1,091762664187
0,400000000000	-0,012927139624	0,003205827970	4,881653078928	1,091782128918
0,500000000000	-0,012764934041	0,003189607411	4,881571974490	1,091730222968
0,600000000000	-0,012700051808	0,003215560305	4,881591439555	1,091795105405
0,700000000000	-0,012664366579	0,003231780864	4,881607660443	1,091769152430
0,800000000000	-0,012672984775	0,003167455698	4,881590849704	1,091748802939
0,900000000000	-0,012614163149	0,003237016411	4,881614502124	1,091773038953
1,000000000000	-0,012560555006	0,003199339746	4,881649834751	1,091778884796
1,100000000000	-0,012586507900	0,003173386852	4,881779601853	1,091714002359
1,200000000000	-0,012696807696	0,003215560305	4,881711474124	1,091739955334
1,300000000000	-0,012807336874	0,003190393862	4,881754697056	1,091729141594
1,400000000000	-0,012826154604	0,003124596695	4,881749408517	1,091715222920
1,500000000000	-0,012807107493	0,003082551722	4,881760136787	1,091658852288
1,600000000000	-0,012816839827	0,003066331163	4,881789334385	1,091704269993
1,700000000000	-0,012797375158	0,003092284057	4,881640102218	1,091597213973
1,800000000000	-0,012761460548	0,003082256803	4,881777635685	1,091660326888
1,900000000000	-0,012562771281	0,003098900760	4,881707651777	1,091644558879
2,000000000000	-0,012447011098	0,003072819387	4,881695253236	1,091636143435
2,100000000000	-0,012356175972	0,003050110604	4,881679032348	1,091629655191
2,200000000000	-0,012304270185	0,003056598828	4,881646590574	1,091639387556
2,300000000000	-0,012253544076	0,003033103594	4,881646557804	1,091594789073
2,400000000000	-0,012215876172	0,003060356858	4,881707651776	1,091602802856
2,500000000000	-0,012206946835	0,003030645933	4,881630369686	1,091616678703
2,600000000000	-0,012219923282	0,002994960704	4,881701741592	1,091600458094
2,700000000000	-0,012239387952	0,003040378269	4,881672543993	1,091626411069
2,800000000000	-0,012158514542	0,002983950385	4,881692435063	1,091604619746
2,900000000000	-0,012138788370	0,003047508891	4,881717287947	1,091570682837
3,000000000000	-0,012164773384	0,003069575275	4,881685520704	1,091619922825
3,100000000000	-0,012223167394	0,003095528169	4,881734183367	1,091606946338
3,200000000000	-0,012268584957	0,003131213399	4,881646590574	1,091597213972
3,300000000000	-0,012227329032	0,003216608907	4,881715373691	1,091634111762
3,400000000000	-0,012219088164	0,003211320476	4,881672319150	1,091641346878
3,500000000000	-0,012184238054	0,003176630964	4,881640102218	1,091577749241
3,600000000000	-0,012155041049	0,003160410405	4,881701741592	1,091684805262
3,700000000000	-0,012210190947	0,003192851523	4,881529800182	1,091671828775
3,800000000000	-0,012253544076	0,003108471847	4,881708819797	1,091686542014
3,900000000000	-0,012180544263	0,003025024948	4,881704439720	1,091702374912
4,000000000000	-0,012009056024	0,003033890045	4,881701741592	1,091652364044
4,100000000000	-0,011924709120	0,003069575275	4,881747160077	1,091665340531
4,200000000000	-0,011694377192	0,003024157710	4,881792578563	1,091652364044
4,300000000000	-0,011277033695	0,002967565982	4,881843174625	1,091683265124
4,400000000000	-0,010577760379	0,002902969257	4,881710863834	1,091660618889
4,500000000000	-0,009445257505	0,002895474609	4,881780912632	1,091683265124
4,600000000000	-0,007947139120	0,002864425354	4,881842558170	1,091673466896
4,700000000000	-0,006263734224	0,002800313997	4,881698497414	1,091736711212
4,800000000000	-0,004261232536	0,002856152042	4,881695712009	1,091722587813
4,900000000000	-0,001947138431	0,002755217631	4,881742984404	1,091708798916
5,000000000000	0,000500074905	0,002705415535	4,881787466526	1,091673434451
5,100000000000	0,003153504623	0,002803397509	4,881871466683	1,091625286868
5,200000000000	0,005911417210	0,002748408208	4,881925589843	1,091619922825
5,300000000000	0,008649676967	0,002902028370	4,881898882725	1,091591512183
5,400000000000	0,011395475839	0,002960785110	4,882012797190	1,091654194885
5,500000000000	0,014249866014	0,003098641206	4,882069283970	1,091542358821
5,600000000000	0,016971493874	0,003214532468	4,882099522729	1,091577106841
5,700000000000	0,019595081049	0,003494553919	4,882129973029	1,091668584653
5,800000000000	0,022340484500	0,003747463563	4,882206915746	1,091650496216
5,900000000000	0,024869782224	0,004104254216	4,882346851117	1,091615650863
6,000000000000	0,027563832446	0,004504422982	4,882564102972	1,091712757141
6,100000000000	0,030076421356	0,005026095885	4,882844719952	1,091818006978
6,200000000000	0,032629922949	0,005668108823	4,883181086561	1,091941090889
6,300000000000	0,035192411000	0,006473828229	4,883848666216	1,092050276889
6,400000000000	0,037839806294	0,007306610129	4,884685228625	1,092209871202
6,500000000000	0,040543557469	0,008341650186	4,885664094899	1,092377965965
6,600000000000	0,043252013094	0,009587124384	4,886814822455	1,092653127456
6,700000000000	0,045895097235	0,010923569984	4,888115480732	1,092953256908
6,800000000000	0,048535870056	0,012414812836	4,889445691891	1,093233234456
6,900000000000	0,051217753800	0,014083913096	4,891029041392	1,093587819993
7,000000000000	0,053883739823	0,015993166540	4,892578453415	1,093865674376
7,100000000000	0,056527177028	0,018066783139	4,894212190064	1,094252704377
7,200000000000	0,059040239808	0,020386644358	4,895927460747	1,094614247307
7,300000000000	0,061571302738	0,022809078447	4,897801907379	1,094989647916
7,400000000000	0,064261654550	0,025464000752	4,899627718618	1,095351209015
7,500000000000	0,066883126988	0,028333899433	4,901544181271	1,095756440362
7,600000000000	0,069529322051	0,031245586476	4,903466127155	1,096089969446
7,700000000000	0,072040937894	0,034455112809	4,905227470190	1,096542894155
7,800000000000	0,074478970250	0,037768596429	4,907207467404	1,096894864997
7,900000000000	0,077006840429	0,041344089740	4,909167529118	1,097281622144
8,000000000000	0,079446689376	0,044941131657	4,911217730275	1,097552176526
8,100000000000	0,081950096857	0,048824819581	4,912909576144	1,097936870531
8,200000000000	0,084529132177	0,052802369093	4,914776495392	1,098273092507
8,300000000000	0,086923385477	0,056853708166	4,916738862737	1,098562343660
8,400000000000	0,089334467685	0,061078570138	4,918517828750	1,098839443065
8,500000000000	0,091731717251	0,065424914897	4,920416122400	1,099190621940
8,600000000000	0,094146032570	0,070014332906	4,922121757497	1,099488267450
8,700000000000	0,096479918312	0,074636227780	4,923958502970	1,099688709348
8,800000000000	0,098861719535	0,079351627054	4,925621422925	1,099947583724
8,900000000000	0,101209204361	0,084310911354	4,927360623754	1,100172423858
