Versuchsteilnehmer 1: Nick
Versuchsteilnehmer 2: Salah
Versuch: 
Startzeit: 03.04.2025 12:08:02
Stoppzeit: 03.04.2025 12:23:42
Probennummer: 
Winkel: 
Frequenz: 
Strom: 
Magnetfeld: 
Temperatur: 
Abgleich: 
Kommentar: 

Zeit (s)          	B(V)          	U_I(V)          	U_Hall(V)          	 Uxx(V)
0,000000000000	-0,011032578411	4,832939038992	0,005340767477	1,091353800185
0,100000000000	-0,011019601965	4,832983934210	0,005441020997	1,091460960855
0,200000000000	-0,011031267659	4,832918362519	0,005389180746	1,091381791174
0,300000000000	-0,010964452066	4,832902829795	0,005330721196	1,091506378561
0,400000000000	-0,011039066635	4,832928783208	0,005304768301	1,091415543149
0,500000000000	-0,011113681203	4,832938515738	0,005395603432	1,091422031393
0,600000000000	-0,011110951010	4,832922937266	0,005366567025	1,091400446740
0,700000000000	-0,011191834803	4,832895423896	0,005362965701	1,091411283191
0,800000000000	-0,011318060239	4,832954736621	0,005431288661	1,091409054905
0,900000000000	-0,011402407142	4,832961224974	0,005317744748	1,091360393078
1,000000000000	-0,011483509934	4,832925539031	0,005366406425	1,091308487128
1,100000000000	-0,011557417864	4,832877968481	0,005398686944	1,091323358697
1,200000000000	-0,011640767428	4,832944578088	0,005405565149	1,091329360922
1,300000000000	-0,011616518512	4,832818481202	0,005333965307	1,091285778275
1,400000000000	-0,011613274400	4,832837946262	0,005350185866	1,091276045910
1,500000000000	-0,011597053842	4,832831457909	0,005350185866	1,091279290031
1,600000000000	-0,011590565619	4,832776306906	0,005350185866	1,091240360569
1,700000000000	-0,011564612725	4,832737376787	0,005346941755	1,091162501645
1,800000000000	-0,011519195162	4,832769818553	0,005343697643	1,091227384082
1,900000000000	-0,011619762624	4,832717911727	0,005327477084	1,091207919351
2,000000000000	-0,011658691964	4,832601121368	0,005311256525	1,091188454620
2,100000000000	-0,011733306532	4,832717911727	0,005269083071	1,091172234011
2,200000000000	-0,011772235872	4,832633563134	0,005314500637	1,091165745767
2,300000000000	-0,011768991760	4,832656272371	0,005246374289	1,091136548670
2,400000000000	-0,011765747649	4,832617342252	0,005243130177	1,091123572183
2,500000000000	-0,011746282979	4,832675737431	0,005236641953	1,091143036914
2,600000000000	-0,011775479984	4,832675737431	0,005204200835	1,091126816305
2,700000000000	-0,011697621304	4,832565435426	0,005197712612	1,091185210498
2,800000000000	-0,011726818309	4,832584900485	0,005165271494	1,091130060427
2,900000000000	-0,011655447852	4,832578412132	0,005175003829	1,091194942863
3,000000000000	-0,011723574197	4,832520016953	0,005178247941	1,091178722254
3,100000000000	-0,011804676989	4,832562191249	0,005187980276	1,091188454620
3,200000000000	-0,011778724095	4,832545970366	0,005145806823	1,091136548670
3,300000000000	-0,011768991760	4,832513528600	0,005110121593	1,091133304548
3,400000000000	-0,011707353639	4,832510284423	0,005090656922	1,091162501645
3,500000000000	-0,011759259425	4,832549214542	0,005022530574	1,091146281036
3,600000000000	-0,011840362217	4,832549214542	0,005080924587	1,091130060426
3,700000000000	-0,011830629882	4,832588144662	0,005084168699	1,091156013401
3,800000000000	-0,011788456430	4,832627074781	0,005087412810	1,091188454620
3,900000000000	-0,011717085974	4,832627074781	0,005025774686	1,091084642721
4,000000000000	-0,011704109527	4,832646539841	0,005074436363	1,091191698742
4,100000000000	-0,011684644857	4,832620586428	0,005009554127	1,091204675229
4,200000000000	-0,011736550644	4,832662760724	0,005067948140	1,091253337057
4,300000000000	-0,011704109527	4,832636807311	0,005016042351	1,091214407594
4,400000000000	-0,011629494959	4,832627074781	0,004990089456	1,091250092935
4,500000000000	-0,011548392167	4,832601121368	0,004996577680	1,091269557666
4,600000000000	-0,011567856837	4,832532993659	0,004980357121	1,091282534153
4,700000000000	-0,011593809730	4,832490819363	0,005029018798	1,091240360569
4,800000000000	-0,011584077395	4,832510284423	0,005012798239	1,091259825300
4,900000000000	-0,011577589172	4,832416203301	0,004983601233	1,091308487128
5,000000000000	-0,011548392167	4,832370784828	0,004970624786	1,091347416590
5,100000000000	-0,011704109527	4,832338343062	0,005009554127	1,091360393078
5,200000000000	-0,011824141659	4,832312389649	0,004970624785	1,091425275514
5,300000000000	-0,011906194746	4,832295742763	0,004973016908	1,091388344956
5,400000000000	-0,011926796915	4,832200224651	0,004952220072	1,091442202764
5,500000000000	-0,011889023892	4,832247506116	0,004886277879	1,091435007880
5,600000000000	-0,011911732674	4,832185866761	0,004967380674	1,091454472611
5,700000000000	-0,011827385770	4,832292924589	0,004980357121	1,091480425586
5,800000000000	-0,011807888332	4,832203988272	0,004927140580	1,091424390754
5,900000000000	-0,011814377204	4,832245193436	0,004987551983	1,091503230799
6,000000000000	-0,011765747649	4,832241017763	0,004899254326	1,091529087414
6,100000000000	-0,011635983182	4,832322122179	0,005003065903	1,091555040388
6,200000000000	-0,011532171609	4,832357808121	0,004993333568	1,091516110926
6,300000000000	-0,011457262121	4,832305573601	0,005002508834	1,091483374788
6,400000000000	-0,011416090227	4,832335131006	0,004987551983	1,091455050771
6,500000000000	-0,011392674807	4,832387005711	0,005022530574	1,091480425586
6,600000000000	-0,011395918919	4,832451889243	0,005016042351	1,091464204977
6,700000000000	-0,011431604147	4,832406470771	0,005032262910	1,091496646195
6,800000000000	-0,011480200284	4,832515298150	0,005051662043	1,091476821006
6,900000000000	-0,011525297946	4,832553550818	0,005010035926	1,091432566759
7,000000000000	-0,011554880390	4,832614098075	0,005087412810	1,091454472611
7,100000000000	-0,011713841862	4,832607609722	0,005016042351	1,091412299027
7,200000000000	-0,011700865415	4,832630318958	0,005058215804	1,091415543149
7,300000000000	-0,011627659906	4,832656206832	0,005090984610	1,091368683611
7,400000000000	-0,011563841847	4,832637064276	0,005083911739	1,091355478715
7,500000000000	-0,011558124502	4,832659516547	0,005045239357	1,091324707737
7,600000000000	-0,011473777599	4,832682225784	0,005035507022	1,091383101930
7,700000000000	-0,011428360035	4,832711423373	0,005045239357	1,091337684225
7,800000000000	-0,011326186902	4,832702084077	0,005054938924	1,091381791174
7,900000000000	-0,011294034540	4,832710941565	0,005090335723	1,091336206704
8,000000000000	-0,011301839680	4,832743865140	0,005090656922	1,091279290031
8,100000000000	-0,011275886787	4,832766574376	0,005162027382	1,091363637199
8,200000000000	-0,011399163030	4,832799016142	0,005178247941	1,091399322540
8,300000000000	-0,011444154599	4,832767622999	0,005159799103	1,091342468485
8,400000000000	-0,011528509938	4,832823363528	0,005202755439	1,091384386731
8,500000000000	-0,011444580594	4,832821725379	0,005256106624	1,091506378561
8,600000000000	-0,011408895365	4,832773062729	0,005236641953	1,091389590174
8,700000000000	-0,011438092370	4,832773062729	0,005239886065	1,091447984367
8,800000000000	-0,011378616990	4,832797115514	0,005340027536	1,091486651678
8,900000000000	-0,011432150186	4,832717365677	0,005308751171	1,091438990762
9,000000000000	-0,011398278273	4,832774176891	0,005333473775	1,091466990334
9,100000000000	-0,011364698359	4,832714153621	0,005347295074	1,091487170790
9,200000000000	-0,011298595569	4,832708179197	0,005337209419	1,091509622682
9,300000000000	-0,011293418097	4,832764346053	0,005353135059	1,091539081930
9,400000000000	-0,011284398565	4,832739850070	0,005366567025	1,091483958788
9,500000000000	-0,011296694978	4,832738130484	0,005330196895	1,091532528149
9,600000000000	-0,011143070928	4,832791242967	0,005334447106	1,091567470835
9,700000000000	-0,010961207955	4,832786039436	0,005418312214	1,091535575657
9,800000000000	-0,011024713898	4,832734853538	0,005372796343	1,091499759241
9,900000000000	-0,010992107315	4,832823363527	0,005446866822	1,091528926814
10,000000000000	-0,011024713898	4,832826608029	0,005372796343	1,091581681510
10,100000000000	-0,011011379266	4,832955057826	0,005395474952	1,091573894839
10,200000000000	-0,010987160848	4,832996910917	0,005421556326	1,091545308023
10,300000000000	-0,011054205823	4,833013393956	0,005428503313	1,091584958401
